city,lat,lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,date
Mizdah,31.4451,12.9801,19.73,30,4,7.1,LY,1619037925
Maningrida,-12.0667,134.2667,24.77,84,100,1.67,AU,1619037925
Assomada,15.1,-23.6833,22.0,68,0,7.72,CV,1619037926
Kemijärvi,66.7131,27.4306,1.61,94,100,0.7,FI,1619037926
Thaba-Tseka,-29.522,28.6084,8.37,64,68,1.68,LS,1619037926
Castro,-24.7911,-50.0119,16.05,79,93,2.53,BR,1619037926
Nortelândia,-14.4547,-56.8028,27.79,68,3,1.9,BR,1619037927
Souillac,-20.5167,57.5167,25.0,94,40,3.09,MU,1619037927
Leshan,29.5623,103.7639,19.0,81,100,0.32,CN,1619037799
Fortuna,40.5982,-124.1573,12.78,87,40,6.69,US,1619037927
Uvira,-3.4067,29.1458,22.33,85,99,1.49,CD,1619037927
Vila Franca do Campo,37.7167,-25.4333,18.0,94,75,8.23,PT,1619037928
Maniitsoq,65.4167,-52.9,1.05,80,8,4.51,GL,1619037928
Port Hedland,-20.3167,118.5667,19.0,63,6,2.57,AU,1619037928
Sioux City,42.5,-96.4003,7.0,36,90,6.17,US,1619037726
Moengo,5.6167,-54.4,24.81,91,79,2.41,SR,1619037928
Coyhaique,-45.5752,-72.0662,12.0,50,40,4.12,CL,1619037929
Mocuba,-16.8392,36.9856,20.57,99,67,1.98,MZ,1619037929
Guararapes,-21.2608,-50.6428,24.04,40,0,3.61,BR,1619037929
Bac Lieu,9.285,105.7244,27.37,81,99,3.74,VN,1619037929
Marystown,47.1666,-55.1483,5.66,75,34,8.29,CA,1619037930
Kalmunai,7.4167,81.8167,26.23,78,68,1.56,LK,1619037930
Kununurra,-15.7667,128.7333,19.0,88,8,1.54,AU,1619037930
Poum,-20.2333,164.0167,25.01,83,55,4.84,NC,1619037931
Hualmay,-11.0964,-77.6139,22.18,76,9,3.94,PE,1619037931
Toftlund,55.1886,9.0693,6.11,65,75,9.26,DK,1619037931
Natchez,31.5604,-91.4032,15.0,36,1,5.66,US,1619037931
Nha Trang,12.25,109.1833,25.0,94,75,1.03,VN,1619037932
Fare,-16.7,-151.0167,27.11,75,75,5.84,PF,1619037932
Lucapa,-8.4192,20.7447,19.24,94,100,1.07,AO,1619037932
Luba,3.4568,8.5547,27.0,89,20,3.09,GQ,1619037932
Chokurdakh,70.6333,147.9167,-8.57,94,100,4.97,RU,1619037933
Geraldton,-28.7667,114.6,19.0,52,100,4.63,AU,1619037933
Cupira,-8.6167,-35.95,22.86,90,99,1.52,BR,1619037933
Moose Factory,51.2585,-80.6094,-2.0,46,75,1.03,CA,1619037933
Airai,-8.9266,125.4092,13.96,94,54,0.91,TL,1619037934
Gunjur,13.2019,-16.7339,22.0,83,0,6.17,GM,1619037934
Pevek,69.7008,170.3133,-4.67,69,9,7.81,RU,1619037934
Acapulco de Juárez,16.8634,-99.8901,30.0,62,40,3.09,MX,1619037934
Tabuk,17.4189,121.4443,22.16,89,100,0.98,PH,1619037935
Taltal,-25.4,-70.4833,19.62,67,25,1.97,CL,1619037935
Richards Bay,-28.783,32.0377,20.35,91,91,2.29,ZA,1619037935
Dikson,73.5069,80.5464,-1.97,95,100,6.01,RU,1619037936
Stornoway,58.2093,-6.3865,6.0,70,94,2.06,GB,1619037936
Petropavlovsk-Kamchatskiy,53.0452,158.6483,3.0,100,75,3.0,RU,1619037936
Tual,-5.6667,132.75,28.35,70,16,1.8,ID,1619037936
Yaan,7.3833,8.5667,30.37,54,25,3.48,NG,1619037937
Barcelos,41.5388,-8.6151,13.0,94,75,3.6,PT,1619037738
Guerrero Negro,27.9769,-114.0611,19.18,55,40,7.25,MX,1619037937
Vila,42.0304,-8.1588,13.33,94,75,0.51,PT,1619037937
Adrar,20.5022,-10.0711,29.12,8,39,4.69,MR,1619037938
Laas,46.6166,10.7002,13.0,65,40,3.6,IT,1619037938
Uyuni,-20.4597,-66.825,13.4,9,0,5.36,BO,1619037938
Muli,2.9167,73.5667,27.86,70,5,2.92,MV,1619037938
Campestre,-21.7111,-46.2464,21.0,52,40,1.94,BR,1619037939
Atar,20.5169,-13.0499,29.29,10,9,3.43,MR,1619037939
Jutaí,-5.1833,-68.9,27.81,82,75,0.81,BR,1619037939
Hamilton,39.1834,-84.5333,7.22,53,100,0.89,US,1619037858
Faya,18.3851,42.4509,19.0,52,0,3.24,SA,1619037939
Provideniya,64.3833,-173.3,-2.0,64,0,3.0,RU,1619037940
